[27.1.2021 | 12:0:51] [👑 _PRYMEK_ 👑]: I przeprosił 

[27.1.2021 | 12:1:3] [👑 _PRYMEK_ 👑]: Bo usunęliśmy mu wszystkie jego konta 

[27.1.2021 | 12:1:20] [👑 _PRYMEK_ 👑]: Więcej informacji nie podam ponieważ są **TAJNE** 

[27.1.2021 | 12:55:27] [👑 _PRYMEK_ 👑]: Ponieważ jakby zaczoł fikać (hacker) to raz dwa go udupimy 

[27.1.2021 | 12:55:48] [bart.bruk]: ok 

