[19.1.2021 | 11:30:19][_Zack_]: Barszczyk [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801035807325421568/20210119_112852.jpg] 

[19.1.2021 | 11:31:0] [emm]: rip 

[19.1.2021 | 11:35:39] [krasnal ogrodowy niko]: Jakiś taki dupiafy barszcz skoro jest taki jasny 

[19.1.2021 | 11:39:39] [DoctorToxic]: Eeeeee różowa 79 czarna 60/70 

[19.1.2021 | 11:39:45] [DoctorToxic]: Nie wiem ceny się zmieniały 

[19.1.2021 | 11:39:50] [DoctorToxic]: To rodzice mi zamówili uwu 

[19.1.2021 | 11:40:20] [emm]: o 

[19.1.2021 | 11:40:22] [emm]: drogo 

[19.1.2021 | 11:47:35] [DoctorToxic]: Nie wiem moi rodzice chcieli bym wybrał bluzy poniżej 100 to mi kupią 

[19.1.2021 | 12:46:58] [_Zack_]: bo na zdjęciu nie wychodzi 

[19.1.2021 | 12:47:7] [_Zack_]: na zdjęciu czerwony za wsze jest jaśniejszy 

[19.1.2021 | 13:16:12] [Grylled]: ooooo szmidt dobry pisarz 

[19.1.2021 | 13:16:19] [Grylled]: szanuje szanuje 

[19.1.2021 | 13:17:27] [Grylled]: Ale polecam szczury wrocławia i trylogię metra Szmidta 

[19.1.2021 | 13:27:42] [_Zack_]: narazie mi zostało metro 2035 

[19.1.2021 | 13:27:53] [_Zack_]: potem przeczytam coś mroza 

[19.1.2021 | 13:27:59] [_Zack_]: kupię sobi coś z sci fi 

[19.1.2021 | 13:28:6] [_Zack_]: i dopiero zacznę universum 

[19.1.2021 | 13:33:7] [Grylled]: 35 ryje banię 

[19.1.2021 | 13:33:12] [Grylled]: uwierz mi 

[19.1.2021 | 13:33:20] [Grylled]: <@565167434340892682> 

[19.1.2021 | 13:39:46] [_Zack_]: wiem słyszałem już 

[19.1.2021 | 13:39:49] [_Zack_]: że zajebiste 

[19.1.2021 | 13:40:3] [_Zack_]: 33 też było spoks 

[19.1.2021 | 14:30:9] [Grylled]: 33 koks jest 34 to mała odskocznia ale 35 to crossover i dużo przy czytaniu trzeba myśleć 

[19.1.2021 | 17:33:58][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801127323851554827/received_790383181551152.jpeg] 

[19.1.2021 | 17:34:0] [DoctorToxic]: Lmaoooo 

[19.1.2021 | 17:35:2] [_Zack_]: co to za hentaie 

[19.1.2021 | 17:35:10] [DoctorToxic]: To nie hentai- 

[19.1.2021 | 17:35:17] [_Zack_]: to te 

[19.1.2021 | 17:35:19] [_Zack_]: ecchi 

[19.1.2021 | 17:35:22] [_Zack_]: czy coś 

[19.1.2021 | 17:35:23] [DoctorToxic]: Nie- 

[19.1.2021 | 17:35:32] [DoctorToxic]: Nic z tych rzeczy xD 

[19.1.2021 | 17:35:34] [_Zack_]: no jak o pedofilach gadajo 

[19.1.2021 | 17:35:42] [_Zack_]: pewnie motyw wujka 

[19.1.2021 | 17:35:46] [DoctorToxic]: Bo go zaciągnął xD 

[19.1.2021 | 17:35:49] [DoctorToxic]: Chciał mu pomoc 

[19.1.2021 | 17:35:55] [DoctorToxic]: Ale różowo włosy się oburzył 

[19.1.2021 | 17:36:0] [DoctorToxic]: I zaczął to wyzywać xD 

[19.1.2021 | 17:36:26] [_Zack_]: przecież to dziewczyna 

[19.1.2021 | 17:36:37] [_Zack_]: ten z różowymmi 

[19.1.2021 | 17:36:41] [_Zack_]: chyba ze trap 

[19.1.2021 | 17:36:44] [DoctorToxic]: To chłopak- 

[19.1.2021 | 17:36:54][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801128065316290610/IMG_20210119_173634.jpg] 

[19.1.2021 | 17:37:5] [DoctorToxic]: XDD 

[19.1.2021 | 17:37:26] [DoctorToxic]: Ale ma fantazje jebaniutki 

[19.1.2021 | 17:38:53] [_Zack_]: jak chłopak jak baba 

[19.1.2021 | 17:39:15] [_Zack_]: jaki chłop ma różowe włosy 

[19.1.2021 | 17:39:19] [DoctorToxic]: To jest chłop 

[19.1.2021 | 17:39:26] [_Zack_]: i to uczesane jeszcze na kobiete 

[19.1.2021 | 17:39:37] [_Zack_]: mówie że trap 

[19.1.2021 | 17:39:47][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801128787542540288/Screenshot_20210119_173939_com.android.chrome.jpg] 

[19.1.2021 | 17:39:50] [DoctorToxic]: GENDER MALE 

[19.1.2021 | 17:39:56] [DoctorToxic]: To chłopak 

[19.1.2021 | 17:40:27] [_Zack_]: no to trap 

[19.1.2021 | 17:40:32] [DoctorToxic]: Noi co 

[19.1.2021 | 17:40:34] [DoctorToxic]: Mi się podoba 

[19.1.2021 | 17:41:21] [_Zack_]: nic 

[19.1.2021 | 17:41:26] [_Zack_]: już nic nie mówie 

[19.1.2021 | 17:41:28] [18seba03]: czekaj co xDDD 

[19.1.2021 | 17:41:30] [_Zack_]: bo potem będzie 

[19.1.2021 | 17:41:56] [_Zack_]: o zack to faszystowski chuj który zabrania oglądać anime 

[19.1.2021 | 17:42:4] [DoctorToxic]: XD 

[19.1.2021 | 17:42:14] [DoctorToxic]: No taką postać zrobili taki wygląd 

[19.1.2021 | 17:42:36] [18seba03]: oh, znów dałem się oszukać. O Anime złe i podłe co żeś stworzyło trapy przez Ciebie biedne oczy ludzi cierpią i ich dusze ~~Stalin, potrzebuje więcej mołotowów twojej produkcji~~ 

[19.1.2021 | 17:42:40][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787766034479710229/801129516055396362/IMG_20210117_163956.jpg] 

[19.1.2021 | 17:42:44] [DoctorToxic]: To też jest chłopak 

