[11.1.2021 | 22:54:10] [krasnal ogrodowy niko]: #rozmowy 

[11.1.2021 | 22:54:15] [krasnal ogrodowy niko]: <#787765876858421258> 

[11.1.2021 | 22:54:23] [18seba03]: <:SipTea:798193947553562684> 

[11.1.2021 | 22:54:57] [Deamovsky]: ok ok 

[11.1.2021 | 22:56:15][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798309328737796126/image0-1-3.gif] 

[11.1.2021 | 22:56:36][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798309417954574346/4qb9vj.png] 

[11.1.2021 | 22:57:6][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798309540683579432/vnlj2oww01a61.jpg] 

[11.1.2021 | 22:57:40][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798309685660614656/Screenshot_20201001-082130.png] 

[11.1.2021 | 22:57:45] [18seba03]: Ok 

[11.1.2021 | 22:58:2][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798309776584736818/pua56bixe3a61.png] 

[11.1.2021 | 22:58:48][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798309970197479454/Screenshot_20210102-175947.png] 

[11.1.2021 | 22:59:3][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798310034286706759/cyvB09VAojLYrsSQ06A1efVbzg1wcfbC.png] 

[11.1.2021 | 23:0:12] [18seba03]: https://c.tenor.com/E7Fh1PZqhDUAAAAM/pepe-pepe-the-frog.gif 

[11.1.2021 | 23:5:23][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798311623395639346/SAVE_20210108_153512.jpg] 

[11.1.2021 | 23:5:29][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798311650998485002/SAVE_20210110_113944_1.jpg] 

[11.1.2021 | 23:7:49][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798312239173730314/a1899f3-1.jpg] 

[11.1.2021 | 23:10:0] [18seba03]: Wiedzę tu tylko jedną opcję, gdzie opcja druga? <:SipTea:798193947553562684> 

[11.1.2021 | 23:14:23] [Kishunia]: No 

[11.1.2021 | 23:14:24] [Kishunia]: Nir 

[11.1.2021 | 23:18:0][18seba03]: To trzeba ją zrobić <:SipTea:798193947553562684> *skacze oknem po sznurze memów [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798314799561703444/Znalazem_twoje_antydepresanty_5000687-2.jpg] 

[11.1.2021 | 23:19:7][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798315081963929620/FB_IMG_1528316182707.png] 

[11.1.2021 | 23:20:59][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798315549859119164/CulNxCOz6W8zhXNJ7PilSit8C7q2kOL5.png] 

[11.1.2021 | 23:21:17][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798315625428680734/mandaojanin.mp4] 

[11.1.2021 | 23:21:44] [Kishunia]: To z antydepresantami było 

[11.1.2021 | 23:22:3] [18seba03]: Sorr nie wiedziałem <:SipTea:798193947553562684> 

[11.1.2021 | 23:22:27][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798315922384355328/received_882260819179748.jpeg] 

[11.1.2021 | 23:28:35] [18seba03]: xd 

[11.1.2021 | 23:28:53][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798317540820254780/122595773_3419416231507120_19767658101660951_n.png] 

[11.1.2021 | 23:29:42][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798317744596058142/video0-7-1.mp4] 

[11.1.2021 | 23:55:7][18seba03]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798324142003978270/PENK00UsgPvyVZU0.png] 

[12.1.2021 | 10:23:49][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798482358364798976/20200823_140045-1-1.jpg] 

[12.1.2021 | 10:24:30] [krasnal ogrodowy niko]: Kiedy to było? 

[12.1.2021 | 10:25:18] [Kishunia]: *dawno* 

[12.1.2021 | 11:20:30] [18seba03]: <:SipTea:798193947553562684> 

[12.1.2021 | 14:41:49] [cheeto pizzerini]: Łódź 🥰 

[12.1.2021 | 15:25:16] [18seba03]: Oh no 

[12.1.2021 | 15:25:54] [18seba03]: Toż to miasto wygląda jak po wojnie i inwestują tyłków dworzec, jedną ulice i manufakture 

[12.1.2021 | 15:58:55][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566687397380187/Screenshot_20201209_185004.jpg] 

[12.1.2021 | 15:58:57][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566698092724255/IMG_20210108_150816.jpg] 

[12.1.2021 | 15:58:59][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566706489327616/image0-37.jpg] 

[12.1.2021 | 15:59:2][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566718443618344/tt288jmqoua61.png] 

[12.1.2021 | 15:59:5][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566731923718164/IMG_20210108_082137.jpg] 

[12.1.2021 | 15:59:7][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566741105311764/FB_IMG_1610225775336.jpg] 

[12.1.2021 | 15:59:12][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798566760281538610/FB_IMG_1610181015571.jpg] 

[12.1.2021 | 21:10:59] [18seba03]: https://cdn.discordapp.com/attachments/682441433298239494/798556936000897034/video0-236.mp4 

[12.1.2021 | 21:36:5] [18seba03]: https://media.discordapp.net/attachments/776365190772949002/781263822077558824/4031390.png?width=472&height=554 

[12.1.2021 | 21:37:52] [18seba03]: https://cdn.discordapp.com/attachments/776365190772949002/780203573321531402/15641541350732.jpg 

[12.1.2021 | 21:38:44] [18seba03]: https://cdn.discordapp.com/attachments/364849524738359296/771764826938408980/118697499_641730916477043_6934068523067440652_n.mp4 

[12.1.2021 | 21:38:55] [18seba03]: https://media.discordapp.net/attachments/659776675982082048/777968556855787560/tarzanputo.png 

[12.1.2021 | 21:40:39] [18seba03]: https://media.discordapp.net/attachments/514108498120802344/770428061161488394/t3jg240r6bn51.png?width=483&height=554 

[12.1.2021 | 21:41:14] [18seba03]: https://cdn.discordapp.com/attachments/514108498120802344/771422157205012480/Its_over_Darth_Vader_I_got_high_ground.mp4 

[12.1.2021 | 21:41:22] [18seba03]: <@!355928318224236545> tak nawiązując do wczoraj xd 

[12.1.2021 | 21:41:25] [18seba03]: <:SipTea:798193947553562684> 

[12.1.2021 | 21:41:42] [18seba03]: https://cdn.discordapp.com/attachments/769259012872339456/776590577579327498/break_my_stride.mp4 

[12.1.2021 | 21:42:23] [Deamovsky]: XDD 

[12.1.2021 | 21:43:48] [18seba03]: https://cdn.discordapp.com/attachments/455236204477022208/778187911979859978/558079_a-chcielismy-posmieszkowac.jpg\ 

[12.1.2021 | 21:43:51] [18seba03]: https://cdn.discordapp.com/attachments/455236204477022208/778187911979859978/558079_a-chcielismy-posmieszkowac.jpg 

[12.1.2021 | 21:44:26] [18seba03]: https://cdn.discordapp.com/attachments/692467510116614296/777807030306996234/video0.mp4 

[12.1.2021 | 21:45:31] [18seba03]: https://cdn.discordapp.com/attachments/579316981233090590/747580581864538132/9_lives.mp4 

[12.1.2021 | 21:45:58] [18seba03]: https://cdn.discordapp.com/attachments/659776675982082048/754023469640974416/received_352946216087892.jpeg 

[12.1.2021 | 21:47:49] [18seba03]: https://cdn.discordapp.com/attachments/547804200994603018/768212917530525696/foos-ro-dah.mp4 

[12.1.2021 | 21:53:15] [cheeto pizzerini]: Chamsko.pl 

[12.1.2021 | 21:53:20] [cheeto pizzerini]: wiocha.pl 

[12.1.2021 | 21:53:23] [cheeto pizzerini]: demotywatory 

[12.1.2021 | 21:53:27] [cheeto pizzerini]: ifunny.co 

[12.1.2021 | 22:10:43] [18seba03]: nie znasz się po prostu 

[12.1.2021 | 22:12:26] [cheeto pizzerini]: a czy ja coś mówię 

[12.1.2021 | 22:12:35] [cheeto pizzerini]: to tam pisze chamsko.pl 

[12.1.2021 | 22:32:17] [18seba03]: I cie hoi 

[12.1.2021 | 22:32:21] [18seba03]: Zwracam honor 

[12.1.2021 | 22:32:53] [18seba03]: Zazwyczaj nie patrzę na te dopiski w memach xD 

[12.1.2021 | 22:46:54][piołun]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798669364600897576/715198_mmmmm-rybka.jpg] 

[12.1.2021 | 22:47:3] [18seba03]: O nie 

[12.1.2021 | 22:47:7] [18seba03]: Przeklęte żółwie 

[12.1.2021 | 22:47:38] [piołun]: Czy tylko ja nie lubie pic przez slomki? Xd 

[12.1.2021 | 22:47:54] [18seba03]: Dla mnie zależy jaka słomka 

[12.1.2021 | 22:48:6] [cheeto pizzerini]: jebane żółwie niszczą naszą polską gospodarkę 

[12.1.2021 | 22:48:7] [18seba03]: Tę cienkie są meh 

[12.1.2021 | 22:48:28] [cheeto pizzerini]: ja lubie słomki ale tylko bezsmakowe 🚨 

[12.1.2021 | 22:48:43] [piołun]: A dostaliscie kiedys taka upieczoną rybe z głową jka na memie? Xd 

[12.1.2021 | 22:48:51] [piołun]: Bo ja nigdy 

[12.1.2021 | 22:49:13] [piołun]: A chetnie bym jej wydłubała to oczko, a kesli go nir ma to włożyła tam palec xd 

[12.1.2021 | 22:49:58] [18seba03]: Zależy w jakim kraju kupujesz 

[12.1.2021 | 22:50:6] [18seba03]: U nas jest nakaz by bez głowy 

[12.1.2021 | 22:52:18] [krasnal ogrodowy niko]: Ej 

[12.1.2021 | 22:52:24] [krasnal ogrodowy niko]: A moja mama kupiła z głową 

[12.1.2021 | 22:52:28] [krasnal ogrodowy niko]: I z oczami kiedyś 

[12.1.2021 | 22:52:29] [krasnal ogrodowy niko]: W Polsce 

[12.1.2021 | 22:52:43] [18seba03]: Ale nie na plaży raczej 

