[28.1.2021 | 18:32:30] [👑 _PRYMEK_ 👑]: Bo wygrał ze mną sokolek 

[28.1.2021 | 18:32:38] [👑 _PRYMEK_ 👑]: I będzie walczył z sokolekiem 

[28.1.2021 | 18:32:42] [Kokichi✔]: **siódma walka** 

[28.1.2021 | 18:32:49] [👑 _PRYMEK_ 👑]: Czyli postawiłem na ćwierć finał jakby co 

[28.1.2021 | 18:32:51] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 18:32:54] [Kokichi✔]: --battle <@!726117566417731765> & <@!546373594150731776> 

[28.1.2021 | 18:32:54] [👑 _PRYMEK_ 👑]: Naura 

[28.1.2021 | 18:33:1] [Kokichi✔]: ok 

[28.1.2021 | 18:33:16] [Kokichi✔]: **ósma walka** 

[28.1.2021 | 18:33:53] [Kokichi✔]: teraz siódma 

[28.1.2021 | 18:34:9] [Kokichi✔]: --battle <@!564061194907025448> & <@!790508375019356160> 

[28.1.2021 | 18:34:34] [Kokichi✔]: **teraz ósma walka** 

[28.1.2021 | 18:34:38] [Free boy]: ooo 

[28.1.2021 | 18:35:51] [Kokichi✔]: --battle <@!772758787542351892> & <@!411549216259833856> 

[28.1.2021 | 18:38:19] [👑 _PRYMEK_ 👑]: Lekki błąd w grafice ale jest git 

[28.1.2021 | 18:38:21] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 18:38:38] [Kokichi✔]: wiem 

[28.1.2021 | 18:38:43] [Kokichi✔]: zmieniłem na staśka 

[28.1.2021 | 18:38:54] [👑 _PRYMEK_ 👑]: Spoko 

[28.1.2021 | 18:39:16] [XeeMee]: o nie znowu z rekinem 

[28.1.2021 | 18:39:18] [XeeMee]: :c 

[28.1.2021 | 18:39:29] [Kokichi✔]: **pierwsza walka** 

[28.1.2021 | 18:39:46] [Kokichi✔]: --battle <@!581373577404874752>  & <@!607951368413773824> 

[28.1.2021 | 18:40:15] [XeeMee]: 🙂 

[28.1.2021 | 18:40:17] [Kokichi✔]: **druga walka** 

[28.1.2021 | 18:40:46] [Kokichi✔]: --battle <@!763675745951678474> & <@!802480296129331240> 

[28.1.2021 | 18:41:9] [Rekin]: Ale ja koks 

[28.1.2021 | 18:41:16] [XeeMee]: kurde on jest niezniszczalny 

[28.1.2021 | 18:41:20] [Kokichi✔]: XD 

[28.1.2021 | 18:41:27] [Kokichi✔]: **trzecia walka** 

[28.1.2021 | 18:42:11] [Kokichi✔]: --battle <@!498926677028503554> & <@!546373594150731776> 

[28.1.2021 | 18:43:14] [Kokichi✔]: **czwarta walka** 

[28.1.2021 | 18:43:44] [Kokichi✔]: --battle <@!564061194907025448>  & <@!772758787542351892> 

[28.1.2021 | 18:43:57] [👑 _PRYMEK_ 👑]: Ja wale 

[28.1.2021 | 18:44:6] [Kokichi✔]: pomyliłem?? 

[28.1.2021 | 18:44:7] [Free boy]: <:ff:797818002593546280> 

[28.1.2021 | 18:44:12] [👑 _PRYMEK_ 👑]: Jak ty tę walki robisz przecież miała być walka z sokolekiem vs ręki 

[28.1.2021 | 18:44:36] [Kokichi✔]: dobra czekaj nie liczyło się wszystko 

[28.1.2021 | 18:44:42] [👑 _PRYMEK_ 👑]: Nie 

[28.1.2021 | 18:44:43] [👑 _PRYMEK_ 👑]: Nie 

[28.1.2021 | 18:44:44] [👑 _PRYMEK_ 👑]: Nie 

[28.1.2021 | 18:44:45] [👑 _PRYMEK_ 👑]: Nie 

[28.1.2021 | 18:44:49] [👑 _PRYMEK_ 👑]: Już niech będzie 

